,category,sub_category,sub_category2,prod_link,product,link
35,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 512GB Gold with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-512gb-gold-middle-east-version/?promo=3002111
36,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 256GB Gold with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-256gb-gold-middle-east-version/?promo=3002107
37,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 256GB Deep Purple with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-256gb-deep-purple-middle-east-version/?promo=3002108
38,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 1TB Space Black with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-1tb-space-black-middle-east-version/?promo=3026303
39,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 1TB Deep Purple with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-1tb-deep-purple-middle-east-version/?promo=3026306
40,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 1TB Gold with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-1tb-gold-middle-east-version/?promo=3026305
41,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 512GB Silver with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-512gb-silver-middle-east-version/?promo=3026300
42,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro 512GB Gold with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-512gb-gold-middle-east-version/?promo=3026301
43,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 1TB Gold with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-1tb-gold-middle-east-version/?promo=3002115
44,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 Pro Max 1TB Silver with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-pro-max-1tb-silver-middle-east-version/?promo=3002114
45,cameras & camcorders,,,https://uae.sharafdg.com/apple-iphone-14-pro/,Apple iPhone 14 256GB Startlight with FaceTime - Middle East Version,https://uae.sharafdg.com/product/apple-iphone-14-256gb-startlight-middle-east-version/?promo=3002061
